IMU_Map_Downsample,ave_match,ave_solve,ave_ICP,map_incre,ave_total,icp,construct_H
0.001376,0.004279,0.000522,0.004755,0.000684,0.00715,0.00482,9.2e-05
0.001338,0.00428,0.000522,0.004827,0.000785,0.007149,0.00482,9.2e-05
0.001294,0.004282,0.000522,0.005482,0.000954,0.007151,0.004822,9.2e-05
0.0014,0.004295,0.000522,0.008698,0.002002,0.007168,0.004835,9.2e-05
0.001883,0.004292,0.000522,0.004063,0.000638,0.007166,0.004832,9.2e-05
0.00125,0.00429,0.000522,0.004224,0.001113,0.007164,0.00483,9.2e-05
0.001263,0.004289,0.000521,0.004467,0.000733,0.007162,0.004829,9.2e-05
0.001155,0.004289,0.000521,0.004611,0.000975,0.00716,0.004828,9.2e-05
0.00105,0.004289,0.000521,0.005168,0.001639,0.007163,0.004829,9.2e-05
0.001012,0.004288,0.00052,0.004294,0.001381,0.007161,0.004827,9.2e-05
0.00114,0.004283,0.00052,0.003371,0.001214,0.007156,0.004821,9.2e-05
0.00107,0.004279,0.000519,0.003502,0.000841,0.00715,0.004817,9.1e-05
0.001041,0.004277,0.000518,0.004044,0.000873,0.007146,0.004814,9.1e-05
0.001072,0.004273,0.000518,0.003406,0.000913,0.00714,0.004809,9.1e-05
0.001161,0.004282,0.000517,0.00738,0.002048,0.007152,0.004817,9.1e-05
0.001,0.004278,0.000517,0.003396,0.000708,0.007145,0.004813,9.1e-05
0.001132,0.004277,0.000516,0.004399,0.000587,0.007142,0.004811,9.1e-05
0.001132,0.004274,0.000516,0.004031,0.000567,0.007137,0.004808,9.1e-05
0.001262,0.004275,0.000515,0.004911,0.000725,0.007136,0.004808,9e-05
0.001331,0.004274,0.000515,0.004549,0.000699,0.007134,0.004807,9e-05
0.002559,0.004273,0.000514,0.004398,0.001214,0.007138,0.004806,9e-05
0.001428,0.004271,0.000514,0.004285,0.00071,0.007135,0.004804,9e-05
0.001413,0.004272,0.000514,0.005035,0.000754,0.007135,0.004804,9e-05
0.001419,0.004271,0.000514,0.00428,0.00085,0.007134,0.004802,9e-05
0.00151,0.00427,0.000513,0.004531,0.000571,0.007132,0.004801,9e-05
0.001664,0.00427,0.000513,0.004919,0.000492,0.007132,0.004801,9e-05
0.0017,0.004268,0.000512,0.004083,0.000332,0.007128,0.004799,9e-05
0.001774,0.004265,0.000512,0.003513,0.000264,0.007123,0.004795,9e-05
0.001786,0.004261,0.000511,0.003664,0.000178,0.007118,0.004791,9e-05
0.001645,0.004257,0.00051,0.003153,0.000129,0.007111,0.004785,8.9e-05
0.001597,0.004253,0.00051,0.003536,0.000147,0.007106,0.004781,8.9e-05
0.001582,0.004248,0.000509,0.002768,0.00014,0.007097,0.004774,8.9e-05
0.001759,0.004242,0.000508,0.002818,0.000169,0.00709,0.004768,8.9e-05
0.001736,0.004238,0.000508,0.003467,0.000161,0.007084,0.004764,8.9e-05
